Origin,Destination,Carrier,WeatherCondition,DistanceKM,ExpectedDeliveryDays,Holiday,CustomsClearanceTime,HandlingTimeWarehouse,Delay
Kolkata,Pune,Delhivery,Rainy,980,5,0,2.0891111793029817,1.1749666108206498,1
Mumbai,Jaipur,FedEx,Rainy,1313,6,1,1.2435067010193421,1.5961212217733123,1
Mumbai,Jaipur,BlueDart,Rainy,1082,7,1,1.892039507202302,1.4997408081162187,1
Mumbai,Jaipur,UPS,Sunny,1846,8,1,1.9169078786438778,1.6197537804512894,1
Mumbai,Hyderabad,DTDC,Fog,798,5,0,0.4377951853407142,1.6997871009749799,1
Delhi,Lucknow,BlueDart,Sunny,597,6,0,0.7708816691322595,0.6963974026237795,0
Delhi,Ahmedabad,UPS,Sunny,901,8,1,1.4284631915321089,0.39186450821520613,0
Kolkata,Hyderabad,FedEx,Storm,283,6,0,3.3628162969732087,1.9913824979089105,1
Chennai,Ahmedabad,DTDC,Cloudy,1552,7,0,1.4798775940400442,1.3176884057137028,1
Bengaluru,Hyderabad,BlueDart,Storm,457,8,1,0.7403793040523763,0.41522304896541395,1
Chennai,Lucknow,UPS,Fog,1918,6,0,3.4680614922766995,0.36903218828067197,1
Kolkata,Jaipur,DTDC,Fog,815,4,0,2.6925895702226565,0.9241801519129266,1
Chennai,Jaipur,UPS,Sunny,647,3,0,0.3473419936151203,0.5424193413930418,0
Kolkata,Pune,Delhivery,Sunny,1005,9,1,1.8278569203071997,0.25981913565807585,1
Mumbai,Hyderabad,UPS,Fog,1715,7,1,2.4116707426594712,1.5495157361751053,1
Bengaluru,Ahmedabad,BlueDart,Storm,764,7,1,1.316906394881176,1.7045098592456545,1
Mumbai,Jaipur,DTDC,Storm,1393,8,0,3.2015224047754547,1.215535487020263,1
Chennai,Pune,UPS,Cloudy,714,6,0,1.9536564353151062,0.29946146020253406,0
Delhi,Hyderabad,UPS,Fog,1276,7,0,1.3182235975116963,0.46404571835912967,1
Delhi,Hyderabad,BlueDart,Storm,1858,7,0,1.2148657389885942,1.2371066639596995,1
Chennai,Pune,DTDC,Cloudy,382,7,1,3.439959626890367,1.2786796483502838,1
Bengaluru,Lucknow,DTDC,Fog,1534,7,1,2.57829662417056,1.9301013247438212,1
Bengaluru,Ahmedabad,DTDC,Fog,194,2,1,1.6522927084403163,1.1508972245814229,1
Bengaluru,Lucknow,FedEx,Rainy,1941,2,1,1.1511532101100874,1.4941316451320408,1
Kolkata,Ahmedabad,FedEx,Cloudy,59,2,0,2.7652323208462892,1.0304295094521212,1
Delhi,Lucknow,UPS,Fog,956,4,1,1.5582008072403974,1.607996086063948,1
Bengaluru,Pune,Delhivery,Rainy,1103,8,0,2.9145241990375244,0.17024438168223105,1
Kolkata,Pune,Delhivery,Fog,144,4,0,2.4285085746026978,1.4551905729922265,1
Bengaluru,Ahmedabad,BlueDart,Fog,1492,7,0,0.3615802424168215,0.5456167858384673,1
Kolkata,Pune,FedEx,Cloudy,1723,5,0,1.8982768289839542,1.3868460587923548,1
Chennai,Pune,FedEx,Rainy,1414,9,1,0.984272599089971,1.720284146300634,1
Bengaluru,Jaipur,Delhivery,Storm,1714,9,0,2.1480568279143917,0.8541861287208847,1
Delhi,Hyderabad,DTDC,Fog,1739,3,1,1.328358897200679,1.4635143805189783,1
Delhi,Jaipur,UPS,Rainy,1997,7,0,1.546208438733231,0.35996042825628993,1
Delhi,Jaipur,BlueDart,Fog,1718,7,1,1.49481800664192,1.839067644542554,1
Chennai,Hyderabad,DTDC,Cloudy,312,2,0,0.4216500071976308,0.4837601716086849,0
Chennai,Pune,Delhivery,Rainy,1928,7,1,1.5872598459674143,1.9224976184046942,1
Mumbai,Lucknow,FedEx,Rainy,1104,9,0,3.160089435950884,0.546684522073253,1
Chennai,Hyderabad,UPS,Fog,646,6,1,2.149457820740428,1.3415344971180407,1
Bengaluru,Pune,Delhivery,Fog,520,4,0,0.7129571614752941,1.761197294052534,1
Delhi,Hyderabad,BlueDart,Rainy,538,8,1,1.6466746533278365,1.0048888863147787,1
Bengaluru,Lucknow,UPS,Rainy,1365,4,1,3.178428098423465,1.5964206888357444,1
Chennai,Pune,BlueDart,Rainy,672,2,0,3.3526531130197763,1.0741909221702115,1
Bengaluru,Lucknow,DTDC,Sunny,119,9,1,0.5399088576295239,0.1780502772792092,0
Delhi,Hyderabad,DTDC,Sunny,1969,5,0,1.2314808317943269,0.1968249168922835,1
Chennai,Lucknow,BlueDart,Storm,799,8,0,2.504026094512714,0.49333902889714276,1
Kolkata,Hyderabad,DTDC,Cloudy,499,5,0,0.5698322242957019,1.7392526711076683,0
Delhi,Pune,BlueDart,Sunny,1040,4,0,1.2992107313351047,0.9195213382782542,0
Chennai,Ahmedabad,DTDC,Fog,1082,4,0,1.000193414993498,1.0117404610470238,1
Mumbai,Lucknow,FedEx,Cloudy,495,7,0,3.2702692380441967,0.19228165070922035,1
Chennai,Jaipur,UPS,Storm,423,3,1,0.6560777264071515,1.8457640677082974,1
Delhi,Pune,BlueDart,Fog,417,8,0,0.5650772429552708,1.2782836445937629,1
Chennai,Hyderabad,BlueDart,Rainy,499,6,1,0.21564659660918395,1.7214019727504968,0
Kolkata,Jaipur,FedEx,Rainy,367,9,1,3.023122087908933,0.5831006191328989,1
Mumbai,Lucknow,DTDC,Rainy,1938,6,1,1.3930690595093578,1.6450027570582144,1
Kolkata,Pune,Delhivery,Rainy,1608,2,1,0.9139737942438246,0.886649578199549,1
Bengaluru,Hyderabad,UPS,Sunny,1730,2,1,0.2628126877977057,0.41442673940537256,0
Mumbai,Ahmedabad,FedEx,Fog,1430,4,1,1.2466054647289297,1.7910369685236214,1
Delhi,Jaipur,Delhivery,Sunny,1564,3,1,0.7707149902588575,1.0638561330058822,1
Bengaluru,Pune,UPS,Cloudy,57,9,0,3.4771791203706717,1.2108137848549145,1
Mumbai,Pune,DTDC,Fog,227,9,0,2.2519136985404966,0.619055663851665,1
Chennai,Ahmedabad,BlueDart,Rainy,1209,3,0,2.3899494539791615,1.6888658360009423,1
Delhi,Pune,BlueDart,Rainy,354,3,1,1.037092871654034,1.2604632531472948,0
Kolkata,Pune,DTDC,Rainy,822,8,1,2.595039794560932,1.177181811106835,1
Mumbai,Ahmedabad,FedEx,Fog,342,5,1,0.24115059720600368,1.612454256989719,1
Chennai,Hyderabad,DTDC,Rainy,845,9,0,3.135866191528811,0.8505137560770571,1
Delhi,Ahmedabad,DTDC,Sunny,751,9,0,0.8584885765683181,1.732067435059656,0
Delhi,Lucknow,UPS,Cloudy,463,4,0,2.6205331850573383,1.7688948942405232,1
Bengaluru,Hyderabad,DTDC,Rainy,223,7,1,2.7837684290860802,1.1828742554189002,1
Bengaluru,Jaipur,BlueDart,Storm,1812,7,1,2.833721538200499,0.28973870660538603,1
Delhi,Hyderabad,DTDC,Storm,938,2,0,1.4445774451737463,1.466693814012565,1
Kolkata,Lucknow,UPS,Storm,819,7,0,2.208845725364214,1.2038798101212964,1
Mumbai,Jaipur,BlueDart,Storm,1172,9,1,0.8492491964770834,0.8166913674777073,1
Chennai,Hyderabad,Delhivery,Storm,305,4,0,2.459054842199135,0.745007732996915,1
Delhi,Lucknow,FedEx,Cloudy,436,2,0,3.107418971328971,0.6284153780558269,1
Bengaluru,Jaipur,Delhivery,Fog,412,5,1,1.745774916114344,0.592935695723615,1
Delhi,Pune,BlueDart,Rainy,225,9,0,1.8351716368744406,0.31031494065627063,0
Bengaluru,Hyderabad,Delhivery,Sunny,624,4,1,3.0931456309732437,1.813119521776233,1
Delhi,Lucknow,FedEx,Fog,741,9,1,0.6547186685617571,0.6784864003044625,1
Delhi,Hyderabad,DTDC,Rainy,239,8,1,2.23529539095512,1.1304923643741895,1
Chennai,Pune,BlueDart,Cloudy,935,3,0,2.12795193820202,1.4967459122873035,1
Kolkata,Ahmedabad,Delhivery,Fog,773,8,0,2.708049406755315,1.5674706765816793,1
Delhi,Hyderabad,FedEx,Fog,846,2,0,0.5313056306443706,0.6026256411874911,1
Kolkata,Pune,UPS,Storm,400,7,0,1.6845356898156163,0.5659920487440984,1
Kolkata,Ahmedabad,BlueDart,Fog,1169,8,1,1.9518063011497875,0.5719721673447378,1
Mumbai,Hyderabad,Delhivery,Cloudy,364,2,1,3.1303631343984137,1.5769815553226152,1
Mumbai,Jaipur,Delhivery,Rainy,930,6,0,1.634058179502378,0.3503341824949282,0
Chennai,Hyderabad,BlueDart,Sunny,1906,2,0,3.3455782321871235,0.41079606764920895,1
Mumbai,Jaipur,UPS,Cloudy,370,4,1,0.5925459254426974,1.842011974495472,0
Delhi,Pune,Delhivery,Fog,1235,2,0,1.5214891093094183,1.1105835735575296,1
Bengaluru,Pune,UPS,Fog,327,8,1,1.746905680146043,0.39046653204003834,1
Bengaluru,Lucknow,UPS,Storm,715,6,0,1.3299321334750744,1.6094683579421802,1
Bengaluru,Ahmedabad,BlueDart,Storm,1292,8,1,3.2484849431074947,0.9321802455487078,1
Mumbai,Hyderabad,FedEx,Storm,54,6,1,1.1269580736817117,0.21791990242629494,1
Mumbai,Jaipur,FedEx,Sunny,896,3,1,1.4966603921817696,1.8515196552944906,1
Bengaluru,Ahmedabad,Delhivery,Rainy,1466,7,0,2.37783929372662,1.2394211777603819,1
Delhi,Jaipur,FedEx,Fog,1074,4,1,2.437710400903433,1.7074143664850268,1
Delhi,Jaipur,BlueDart,Fog,926,4,1,2.673741442445463,1.9844346613454937,1
Chennai,Jaipur,FedEx,Storm,385,4,0,1.4089071122365697,1.5031703541045944,1
Kolkata,Hyderabad,DTDC,Fog,1145,3,1,1.879482700779469,1.8234640211280662,1
Mumbai,Jaipur,BlueDart,Storm,835,4,1,1.6521653571707229,0.33903333479334197,1
Chennai,Lucknow,BlueDart,Cloudy,1351,3,1,2.3876020568933143,0.13755624615111417,1
Kolkata,Hyderabad,UPS,Sunny,366,8,1,1.0140452448462862,1.3689134018111742,0
Kolkata,Pune,BlueDart,Fog,586,8,0,1.1356185297774564,1.381999439963628,1
Kolkata,Lucknow,FedEx,Cloudy,1923,6,1,3.344644146002367,1.2591149174856304,1
Bengaluru,Ahmedabad,Delhivery,Cloudy,1269,2,0,3.4212236892826358,0.85938465681091,1
Chennai,Ahmedabad,DTDC,Sunny,1101,5,1,2.2137505666297113,0.943491484152355,1
Kolkata,Pune,UPS,Fog,1715,4,0,1.9970097267364204,1.0306660865756792,1
Chennai,Ahmedabad,UPS,Cloudy,1627,3,0,3.248785848345071,1.7023134829477602,1
Kolkata,Lucknow,UPS,Sunny,1502,9,1,2.7165473034767142,1.0131544987903824,1
Bengaluru,Jaipur,FedEx,Cloudy,1232,7,1,1.0507677520177696,1.213326610782504,1
Mumbai,Hyderabad,DTDC,Cloudy,476,7,1,3.0398807336714406,0.4186290873877838,1
Mumbai,Pune,BlueDart,Cloudy,936,8,0,0.6564859313829624,1.5712382122477973,0
Kolkata,Ahmedabad,BlueDart,Sunny,810,5,1,0.8355497166620023,0.3925308068974902,0
Delhi,Jaipur,DTDC,Storm,1761,9,0,0.4298141007516023,0.3621952829610201,1
Kolkata,Jaipur,FedEx,Cloudy,577,5,1,2.3893957488559865,0.3125051245232866,1
Bengaluru,Lucknow,DTDC,Sunny,353,5,1,1.8525282919649182,1.4037095396687858,1
Chennai,Ahmedabad,FedEx,Sunny,1984,2,1,1.904316028697615,0.2808782652256416,1
Bengaluru,Ahmedabad,BlueDart,Fog,674,4,0,1.6017638518910045,0.19769639365816577,1
Chennai,Hyderabad,FedEx,Storm,739,4,1,2.945996248430554,1.6603384945359063,1
Kolkata,Jaipur,Delhivery,Cloudy,508,7,1,1.8211495730915082,1.7967589371189758,1
Kolkata,Hyderabad,BlueDart,Rainy,1764,9,0,0.7066342227802258,1.1142960252205247,1
Mumbai,Pune,DTDC,Sunny,492,2,0,2.7562588082643584,0.16619286553183976,0
Chennai,Hyderabad,FedEx,Storm,1655,4,0,0.6846503249106339,1.7355218498790186,1
Mumbai,Lucknow,DTDC,Rainy,936,8,0,1.5017890091978894,1.5018153566021084,1
Delhi,Jaipur,Delhivery,Cloudy,1517,3,1,2.6758777602291692,0.9828913119289261,1
Mumbai,Hyderabad,DTDC,Cloudy,1269,3,1,0.5924041485120697,0.26336646521079576,0
Bengaluru,Hyderabad,BlueDart,Sunny,391,2,1,1.5150718574649007,1.9817380689849167,1
Kolkata,Pune,UPS,Storm,400,5,1,3.0877778568784717,1.9536317270739594,1
Mumbai,Lucknow,UPS,Rainy,424,6,0,2.365043801013709,0.6492588051125642,0
Mumbai,Ahmedabad,BlueDart,Rainy,1504,6,0,2.5447581467508367,0.15049775349485423,1
Kolkata,Jaipur,BlueDart,Fog,1223,4,0,1.0586093626318716,0.8954465658981231,1
Mumbai,Ahmedabad,BlueDart,Fog,729,6,0,1.093299312933853,1.0916450944615816,1
Mumbai,Pune,Delhivery,Rainy,1149,7,1,0.41806139603400294,0.10202818354321976,0
Delhi,Hyderabad,DTDC,Fog,1558,7,1,3.137871074017942,0.992916286545946,1
Delhi,Lucknow,DTDC,Fog,1874,5,0,0.9100883062747711,1.2129655177939727,1
Chennai,Pune,Delhivery,Storm,102,3,1,0.8830510268147711,0.9031946651169181,1
Delhi,Jaipur,BlueDart,Sunny,312,7,1,1.2573107718711158,0.7854415043846817,0
Mumbai,Pune,DTDC,Cloudy,717,4,1,0.8777879823189421,1.7878943608193971,1
Bengaluru,Pune,UPS,Storm,244,8,0,0.5805772457662604,1.2771815869895928,1
Chennai,Pune,BlueDart,Fog,1927,8,0,1.9359997387238688,1.9936867018863915,1
Kolkata,Jaipur,BlueDart,Cloudy,832,2,0,3.3305301457517156,1.1960358211454265,1
Kolkata,Lucknow,UPS,Sunny,1612,9,0,1.829117851693131,1.944680984236902,1
Chennai,Lucknow,Delhivery,Fog,825,8,1,0.6225736148076969,0.7100626901825242,1
Mumbai,Pune,UPS,Sunny,1607,8,0,1.3836202120421068,0.8764718169967544,1
Chennai,Jaipur,DTDC,Fog,1284,5,1,3.2781727448680424,0.8438347611082604,1
Bengaluru,Hyderabad,Delhivery,Rainy,1940,6,0,2.373886252395113,1.153358144421551,1
Chennai,Hyderabad,Delhivery,Fog,724,2,0,0.5123112352229826,0.415519001586549,1
Chennai,Ahmedabad,UPS,Cloudy,1733,3,1,2.69328049016231,0.5891024884562057,1
Chennai,Jaipur,UPS,Fog,1858,3,1,2.407527274672213,0.1998943816138052,1
Bengaluru,Lucknow,UPS,Cloudy,252,9,1,0.21524203618298113,0.17322979871452787,0
Chennai,Lucknow,FedEx,Fog,1147,2,0,2.6534178720338715,1.7190761404314452,1
Mumbai,Jaipur,Delhivery,Rainy,931,2,1,1.2913630202621478,1.7696508775868252,1
Bengaluru,Lucknow,Delhivery,Fog,1151,2,0,0.7299414315302317,1.5723250164245233,1
Delhi,Jaipur,Delhivery,Rainy,519,9,0,3.0236190016179316,0.4564576562535638,1
Kolkata,Lucknow,DTDC,Fog,1762,6,0,0.5336503475874304,1.6408295142558516,1
Chennai,Jaipur,Delhivery,Rainy,1294,9,1,1.6024319726981344,0.8029702989096758,1
Bengaluru,Pune,DTDC,Sunny,280,9,1,2.9644656320172356,0.6403545556894769,1
Bengaluru,Hyderabad,FedEx,Fog,178,2,1,1.7301298584489533,1.4112408621990735,1
Chennai,Jaipur,BlueDart,Storm,1353,2,0,2.2417587679598188,0.17618051875827426,1
Chennai,Jaipur,UPS,Rainy,1866,3,0,0.8219651999405946,0.7538680483203613,1
Delhi,Pune,BlueDart,Rainy,1897,3,0,2.8695996882722716,1.9513925339068086,1
Mumbai,Pune,DTDC,Storm,1981,8,1,1.6157862004794619,0.9190450795120827,1
Bengaluru,Hyderabad,BlueDart,Cloudy,1092,4,1,3.3637348357073824,0.17675853480011006,1
Mumbai,Ahmedabad,DTDC,Cloudy,1068,9,0,3.288384536636566,1.6912039131967762,1
Delhi,Lucknow,BlueDart,Cloudy,166,2,1,0.714000314216112,1.116306490654154,0
Delhi,Lucknow,UPS,Rainy,1430,5,1,0.40828666332277436,1.9406294105870379,1
Chennai,Hyderabad,Delhivery,Storm,419,6,0,3.3824315431418803,0.2791435016272133,1
Bengaluru,Lucknow,BlueDart,Storm,1104,8,0,2.979110363205677,1.8924264674279205,1
Kolkata,Ahmedabad,BlueDart,Fog,1601,4,1,1.99353546376354,1.8079509950089758,1
Mumbai,Lucknow,DTDC,Storm,1540,5,0,1.4749268088364997,0.787038156188059,1
Chennai,Pune,Delhivery,Sunny,225,7,0,2.7735704847786287,0.9475384965484296,1
Delhi,Lucknow,UPS,Storm,219,2,0,0.879205316942925,1.953898446340355,1
Delhi,Lucknow,Delhivery,Cloudy,1055,7,1,3.424736008717379,0.5490848272287346,1
Chennai,Pune,Delhivery,Sunny,1869,2,0,2.0762800585223267,1.8336527129617195,1
Delhi,Hyderabad,DTDC,Storm,1270,8,0,2.8419259482237056,1.2737989261606082,1
Bengaluru,Lucknow,FedEx,Fog,298,4,0,0.9455655611253821,0.9318989747840907,1
Delhi,Ahmedabad,UPS,Fog,787,4,1,1.9835730841634913,0.4473366638188554,1
Bengaluru,Hyderabad,BlueDart,Storm,389,7,0,0.9545304887849784,1.471622881074085,1
Chennai,Lucknow,BlueDart,Storm,1876,8,0,0.5541307973473174,1.0455306344942197,1
Chennai,Jaipur,BlueDart,Rainy,1876,5,0,1.80472602181292,1.0080985034056789,1
Kolkata,Lucknow,DTDC,Fog,180,7,1,0.9522936483365021,1.3114570624351949,1
Bengaluru,Pune,DTDC,Fog,83,5,0,1.7693518716686847,0.2146285552910213,1
Kolkata,Lucknow,UPS,Storm,1313,7,1,1.6129605495792818,1.3120798140686254,1
Delhi,Lucknow,FedEx,Storm,638,4,0,2.4171188224264224,1.9251152287625874,1
Bengaluru,Ahmedabad,Delhivery,Rainy,878,7,1,1.869015638651046,1.4994888769198929,1
Chennai,Jaipur,DTDC,Cloudy,1216,7,0,0.8553260896533166,1.2909674672899965,0
Delhi,Pune,FedEx,Cloudy,1794,7,0,0.5653900533818293,1.9164886530929954,1
Kolkata,Pune,Delhivery,Sunny,820,4,0,3.1133243679124574,1.5450374431867473,1
Chennai,Pune,FedEx,Fog,391,8,0,1.7787362560860371,0.3801093116226131,1
Mumbai,Hyderabad,Delhivery,Cloudy,795,3,1,2.5265930485298367,0.2328700998060363,1
Chennai,Jaipur,DTDC,Cloudy,1575,6,1,2.889741217521889,0.9516572030241532,1
Chennai,Lucknow,Delhivery,Cloudy,712,4,0,1.742698980114287,0.8449140425893421,0
Delhi,Ahmedabad,Delhivery,Fog,1515,3,0,1.100254289481258,0.3486916286159406,1
Delhi,Jaipur,FedEx,Cloudy,1727,4,1,2.7184131164056713,1.867006359973963,1
Mumbai,Hyderabad,DTDC,Storm,1303,2,1,3.4961378032010733,1.265681320986681,1
Chennai,Lucknow,UPS,Fog,1033,8,0,0.4678082013988677,0.1300305553362543,1
Chennai,Jaipur,DTDC,Rainy,1013,5,0,2.074952259261503,1.1491091362784114,1
Bengaluru,Lucknow,UPS,Sunny,1440,3,0,2.9978616618380602,1.9901660058796489,1
Bengaluru,Ahmedabad,UPS,Sunny,1785,3,0,1.5254833922309419,0.6093616991590469,1
Kolkata,Ahmedabad,FedEx,Fog,892,4,1,1.1777887804965006,0.42261995016814424,1
